n,Straightforward_double,Iterative_double,Delta_double,Straightforward_float,Iterative_float,Delta_float
2,2.618034,2.618034,0.000000,2.618034,2.618034,0.000000
3,4.236068,4.236068,0.000000,4.236068,4.236068,0.000000
4,6.854102,6.854102,0.000000,6.854102,6.854102,0.000000
5,11.090170,11.090170,0.000000,11.090171,11.090170,0.000001
6,17.944272,17.944272,0.000000,17.944273,17.944271,0.000002
7,29.034442,29.034442,0.000000,29.034445,29.034441,0.000004
8,46.978714,46.978714,0.000000,46.978718,46.978714,0.000004
9,76.013156,76.013156,0.000000,76.013161,76.013153,0.000008
10,122.991869,122.991869,0.000000,122.991882,122.991867,0.000015
11,199.005025,199.005025,0.000000,199.005051,199.005020,0.000031
12,321.996894,321.996894,0.000000,321.996948,321.996887,0.000061
13,521.001919,521.001919,0.000000,521.002014,521.001892,0.000122
14,842.998814,842.998814,0.000000,842.998962,842.998779,0.000183
15,1364.000733,1364.000733,0.000000,1364.000977,1364.000732,0.000244
16,2206.999547,2206.999547,0.000000,2207.000000,2206.999512,0.000488
17,3571.000280,3571.000280,0.000000,3571.000977,3571.000244,0.000732
18,5777.999827,5777.999827,0.000000,5778.000977,5778.000000,0.000977
19,9349.000107,9349.000107,0.000000,9349.001953,9349.000000,0.001953
20,15126.999934,15126.999934,0.000000,15127.002930,15127.000000,0.002930
21,24476.000041,24476.000041,0.000000,24476.005859,24476.000000,0.005859
22,39602.999975,39602.999975,0.000000,39603.007812,39603.000000,0.007812
23,64079.000016,64079.000016,0.000000,64079.015625,64079.000000,0.015625
24,103681.999990,103681.999990,0.000000,103682.023438,103682.000000,0.023438
25,167761.000006,167761.000006,0.000000,167761.046875,167761.000000,0.046875
26,271442.999996,271442.999996,0.000000,271443.062500,271443.000000,0.062500
27,439204.000002,439204.000002,0.000000,439204.125000,439204.000000,0.125000
28,710646.999999,710646.999999,0.000000,710647.187500,710647.000000,0.187500
29,1149851.000001,1149851.000001,0.000000,1149851.375000,1149851.000000,0.375000
30,1860497.999999,1860497.999999,0.000000,1860498.625000,1860498.000000,0.625000
31,3010349.000000,3010349.000000,0.000000,3010350.000000,3010349.000000,1.000000
32,4870847.000000,4870847.000000,0.000000,4870848.500000,4870847.000000,1.500000
33,7881196.000000,7881196.000000,0.000000,7881198.500000,7881196.000000,2.500000
34,12752043.000000,12752043.000000,0.000000,12752047.000000,12752043.000000,4.000000
35,20633239.000000,20633239.000000,0.000000,20633246.000000,20633240.000000,6.000000
36,33385282.000000,33385282.000000,0.000000,33385294.000000,33385284.000000,10.000000
37,54018521.000000,54018521.000000,0.000000,54018540.000000,54018524.000000,16.000000
38,87403803.000000,87403803.000000,0.000000,87403840.000000,87403808.000000,32.000000
39,141422324.000000,141422324.000000,0.000000,141422384.000000,141422336.000000,48.000000
40,228826127.000000,228826127.000000,0.000000,228826224.000000,228826144.000000,80.000000
41,370248451.000001,370248451.000000,0.000001,370248608.000000,370248480.000000,128.000000
42,599074578.000001,599074578.000000,0.000001,599074816.000000,599074624.000000,192.000000
43,969323029.000001,969323029.000000,0.000001,969323456.000000,969323136.000000,320.000000
44,1568397607.000002,1568397607.000000,0.000002,1568398336.000000,1568397824.000000,512.000000
45,2537720636.000004,2537720636.000000,0.000004,2537721856.000000,2537720832.000000,1024.000000
46,4106118243.000006,4106118243.000000,0.000006,4106120192.000000,4106118656.000000,1536.000000
47,6643838879.000010,6643838879.000000,0.000010,6643842048.000000,6643839488.000000,2560.000000
48,10749957122.000017,10749957122.000000,0.000017,10749962240.000000,10749958144.000000,4096.000000
49,17393796001.000027,17393796001.000000,0.000027,17393805312.000000,17393797120.000000,8192.000000
50,28143753123.000046,28143753123.000000,0.000046,28143767552.000000,28143755264.000000,12288.000000
51,45537549124.000076,45537549124.000000,0.000076,45537570816.000000,45537550336.000000,20480.000000
52,73681302247.000122,73681302247.000000,0.000122,73681338368.000000,73681305600.000000,32768.000000
53,119218851371.000214,119218851371.000000,0.000214,119218913280.000000,119218855936.000000,57344.000000
54,192900153618.000336,192900153618.000000,0.000336,192900251648.000000,192900169728.000000,81920.000000
55,312119004989.000549,312119004989.000000,0.000549,312119164928.000000,312119033856.000000,131072.000000
56,505019158607.000977,505019158607.000000,0.000977,505019432960.000000,505019203584.000000,229376.000000
57,817138163596.001587,817138163596.000000,0.001587,817138630656.000000,817138237440.000000,393216.000000
58,1322157322203.002686,1322157322203.000000,0.002686,1322158129152.000000,1322157473792.000000,655360.000000
59,2139295485799.004150,2139295485799.000000,0.004150,2139296759808.000000,2139295711232.000000,1048576.000000
60,3461452808002.006836,3461452808002.000000,0.006836,3461455020032.000000,3461453185024.000000,1835008.000000
61,5600748293801.011719,5600748293801.000000,0.011719,5600751648768.000000,5600749027328.000000,2621440.000000
62,9062201101803.019531,9062201101803.000000,0.019531,9062206930944.000000,9062202736640.000000,4194304.000000
63,14662949395604.031250,14662949395604.000000,0.031250,14662958579712.000000,14662951239680.000000,7340032.000000
64,23725150497407.050781,23725150497407.000000,0.050781,23725166559232.000000,23725153976320.000000,12582912.000000
65,38388099893011.085938,38388099893011.000000,0.085938,38388124090368.000000,38388107313152.000000,16777216.000000
66,62113250390418.140625,62113250390418.000000,0.140625,62113292746752.000000,62113263386624.000000,29360128.000000
67,100501350283429.218750,100501350283429.000000,0.218750,100501421031424.000000,100501370699776.000000,50331648.000000
68,162614600673847.375000,162614600673847.000000,0.375000,162614709583872.000000,162614642475008.000000,67108864.000000
69,263115950957276.593750,263115950957276.000000,0.593750,263116139003904.000000,263116004786176.000000,134217728.000000
70,425730551631124.000000,425730551631123.000000,1.000000,425730848587776.000000,425730647261184.000000,201326592.000000
71,688846502588400.625000,688846502588399.000000,1.625000,688846987591680.000000,688846652047360.000000,335544320.000000
72,1114577054219524.750000,1114577054219522.000000,2.750000,1114577836179456.000000,1114577299308544.000000,536870912.000000
73,1803423556807925.500000,1803423556807921.000000,4.500000,1803424957988864.000000,1803424018464768.000000,939524096.000000
74,2918000611027450.000000,2918000611027443.000000,7.000000,2918002928386048.000000,2918001317773312.000000,1610612736.000000
75,4721424167835376.000000,4721424167835364.000000,12.000000,4721428020592640.000000,4721425336238080.000000,2684354560.000000
76,7639424778862826.000000,7639424778862807.000000,19.000000,7639430412107776.000000,7639426654011392.000000,3758096384.000000
77,12360848946698202.000000,12360848946698172.000000,30.000000,12360858969571328.000000,12360851453378560.000000,7516192768.000000
78,20000273725561032.000000,20000273725560980.000000,52.000000,20000290455420928.000000,20000277570519040.000000,12884901888.000000
79,32361122672259236.000000,32361122672259152.000000,84.000000,32361148351250432.000000,32361129023897600.000000,19327352832.000000
80,52361396397820264.000000,52361396397820128.000000,136.000000,52361440954155008.000000,52361406594416640.000000,34359738368.000000
81,84722519070079504.000000,84722519070079280.000000,224.000000,84722585010438144.000000,84722533470830592.000000,51539607552.000000
82,137083915467899776.000000,137083915467899408.000000,368.000000,137084025964593152.000000,137083940065247232.000000,85899345920.000000
83,221806434537979296.000000,221806434537978688.000000,608.000000,221806628154900480.000000,221806473536077824.000000,154618822656.000000
84,358890350005879104.000000,358890350005878080.000000,1024.000000,358890662709428224.000000,358890422191259648.000000,240518168576.000000
85,580696784543858432.000000,580696784543856768.000000,1664.000000,580697308044197888.000000,580696895727337472.000000,412316860416.000000
86,939587134549737600.000000,939587134549734912.000000,2688.000000,939587936393887744.000000,939587317918597120.000000,618475290624.000000
87,1520283919093596160.000000,1520283919093591552.000000,4608.000000,1520285244438085632.000000,1520284282365411328.000000,962072674304.000000
88,2459871053643333632.000000,2459871053643326464.000000,7168.000000,2459873318270926848.000000,2459871669003485184.000000,1649267441664.000000
89,3980154972736929792.000000,3980154972736918016.000000,11776.000000,3980158700147965952.000000,3980155951368896512.000000,2748779069440.000000
90,6440026026380264448.000000,6440026026380244992.000000,19456.000000,6440032018418892800.000000,6440027620372381696.000000,4398046511104.000000
91,10420180999117195264.000000,10420180999117162496.000000,32768.000000,10420190443688951808.000000,10420183846619185152.000000,6597069766656.000000
92,16860207025497458688.000000,16860207025497407488.000000,51200.000000,16860222462107844608.000000,16860211466991566848.000000,10995116277760.000000
93,27280388024614653952.000000,27280388024614567936.000000,86016.000000,27280414005308424192.000000,27280396413122379776.000000,17592186044416.000000
94,44140595050112114688.000000,44140595050111975424.000000,139264.000000,44140637566927896576.000000,44140606780602318848.000000,30786325577728.000000
95,71420983074726772736.000000,71420983074726543360.000000,229376.000000,71421051572236320768.000000,71421003193724698624.000000,48378511622144.000000
96,115561578124838895616.000000,115561578124838518784.000000,376832.000000,115561689139164217344.000000,115561609974327017472.000000,79164837199872.000000
97,186982561199565668352.000000,186982561199565045760.000000,622592.000000,186982753905540071424.000000,186982613168051716096.000000,140737488355328.000000
98,302544139324404596736.000000,302544139324403548160.000000,1048576.000000,302544434248611266560.000000,302544223142378733568.000000,211106232532992.000000
99,489526700523970297856.000000,489526700523968593920.000000,1703936.000000,489527205746337382400.000000,489526853902616494080.000000,351843720888320.000000
